Nr.,Pot,AMF,Hg_C,Leaf_Concentration,Leaf_dry,Leaf_Content,Stem_Concentration,Stem_dry,Stem_Content,Root_Concentration,Root_dry,Root_Content,Sand,Sand_Content,Above_Content,Above_Concentration,Bioaccumulation,Transfer_Factor
1,"B1_7,1",Control,0,914,0.71,648.94,621,0.62,385.02,782,0.68,531.76,16.6,1328,1033.96,777.41,778.97,0.99
2,"B2_7,1",Control,0,1107,0.67,741.69,881,0.63,555.03,783,0.65,508.95,12.6,1008,1296.72,997.48,925.98,1.27
3,"B4_7,1",Control,0,1044,0.67,699.48,721,0.65,468.65,1150,0.67,770.5,10.7,856,1168.13,884.95,974.19,0.77
4,"B5_7,1",Control,0,862,0.64,551.68,621,0.61,378.81,735,0.6,441,14.2,1136,930.49,744.39,741.35,1.01
5,"B1_7,3",Control,25,893,0.7,625.1,707,0.69,487.83,968,0.67,648.56,14,1120,1112.93,800.67,855.09,0.83
6,"B2_7,3",Control,25,1325,0.63,834.75,756,0.62,468.72,916,0.6,549.6,11.9,952,1303.47,1042.78,1001.66,1.14
7,"B3_7,3",Control,25,1229,0.64,786.56,1009,0.61,615.49,990,0.59,584.1,15.4,1232,1402.05,1121.64,1079.43,1.13
8,B4_7.3,Control,25,874,0.61,533.14,517,0.6,310.2,547,0.59,322.73,25.6,2048,843.34,696.98,647.82,1.27
9,"B1_7,4",Control,50,730,0.59,430.7,583,0.63,367.29,744,0.62,461.28,14.2,1136,797.99,654.09,684.39,0.88
10,"B2_7,4",Control,50,985,0.64,630.4,847,0.62,525.14,888,0.63,559.44,14.1,1128,1155.54,917.1,907.4,1.03
11,"B3_7,4",Control,50,813,0.6,487.8,693,0.6,415.8,733,0.6,439.8,11.8,944,903.6,753,746.33,1.03
12,"B4_7,4",Control,50,1101,0.69,759.69,886,0.62,549.32,1184,0.62,734.08,13.4,1072,1309.01,999.24,1058.6,0.84
13,"B5_7,4",Control,50,825,0.67,552.75,737,0.62,456.94,818,0.61,498.98,14.8,1184,1009.69,782.71,794.04,0.96
14,"B2_1,1",AMF,0,1610,0.61,982.1,3939,0.59,2324.01,2345,0.6,1407,18.5,1480,3306.11,2755.09,2618.39,1.17
15,"B3_1,1",AMF,0,1535,0.6,921,3355,0.6,2013,1943,0.63,1224.09,15.3,1224,2934,2445,2272.18,1.26
16,"B4_1,1",AMF,0,1806,0.62,1119.72,4158,0.6,2494.8,2800,0.6,1680,14.2,1136,3614.52,2962.72,2909.08,1.06
17,"B5_1,1",AMF,0,1557,0.63,980.91,4105,0.6,2463,2006,0.62,1243.72,18.2,1456,3443.91,2799.93,2533.85,1.4
18,"B1_1,3",AMF,25,1913,0.62,1186.06,3897,0.59,2299.23,2186,0.6,1311.6,19.5,1560,3485.29,2880.4,2650.22,1.32
19,"B2_1,3",AMF,25,1479,0.65,961.35,992,0.62,615.04,1340,0.61,817.4,22.1,1768,1576.39,1241.25,1273.29,0.93
20,"B3_1,3",AMF,25,1893,0.62,1173.66,3983,0.59,2349.97,2560,0.6,1536,17.9,1432,3523.63,2912.09,2795.38,1.14
21,"B4_1,3",AMF,25,1422,0.61,867.42,3458,0.62,2143.96,2491,0.59,1469.69,13.9,1112,3011.38,2448.28,2462.13,0.98
22,"B5_1,3",AMF,25,1575,0.61,960.75,2184,0.59,1288.56,2090,0.59,1233.1,18.7,1496,2249.31,1874.43,1945.48,0.9
23,"B1_1,4",AMF,50,1972,0.61,1202.92,3032,0.61,1849.52,2231,0.57,1271.67,18.9,1512,3052.44,2502,2415.7,1.12
24,"B2_1,4",AMF,50,1508,0.63,950.04,2450,0.61,1494.5,1719,0.58,997.02,20.6,1648,2444.54,1971.4,1890.97,1.15
25,"B3_1,4",AMF,50,1789,0.62,1109.18,4275,0.59,2522.25,2444,0.58,1417.52,13.7,1096,3631.43,3001.18,2820.64,1.23
26,"B5_1,4",AMF,50,1630,0.63,1026.9,4214,0.59,2486.26,2663,0.6,1597.8,17.5,1400,3513.16,2879.64,2808.22,1.08