Nr.,Pot,AMF,Hg_C,treatment,Leaf_Concentration,Leaf_dry,Leaf_Content,Stem_Concentration,Stem_dry,Stem_Content,Root_Concentration,Root_dry,Root_Content,Sand,Sand_Content,Above_Content,Above_Concentration,Bioaccumulation,Transfer_Factor
1,"B1_7,1",Control,0,CK0,28.4,0.71,20.16,40.4,0.62,25.05,233,0.68,158.44,3.37,269.6,45.21,33.99,101.32,0.15
2,"B2_7,1",Control,0,CK0,26.6,0.67,17.82,38.4,0.63,24.19,108,0.65,70.2,3.36,268.8,42.01,32.32,57.55,0.3
3,"B4_7,1",Control,0,CK0,20.3,0.67,13.6,19.2,0.65,12.48,122,0.67,81.74,2.8,224,26.08,19.76,54.18,0.16
4,"B5_7,1",Control,0,CK0,20,0.64,12.8,24.7,0.61,15.07,200,0.6,120,3.5,280,27.87,22.29,79.93,0.11
5,"B1_7,3",Control,25,CK25,22.7,0.7,15.89,16.5,0.69,11.39,139,0.67,93.13,3.57,285.6,27.28,19.62,58.45,0.14
6,"B2_7,3",Control,25,CK25,28.5,0.63,17.96,35.7,0.62,22.13,169,0.6,101.4,3.51,280.8,40.09,32.07,76.48,0.19
7,"B3_7,3",Control,25,CK25,18.4,0.64,11.78,22.4,0.61,13.66,150,0.59,88.5,3.25,260,25.44,20.35,61.92,0.14
8,B4_7.3,Control,25,CK25,18.7,0.61,11.41,23.2,0.6,13.92,156,0.59,92.04,25.3,2024,25.33,20.93,65.2,0.13
9,"B1_7,4",Control,50,CK50,23.2,0.59,13.69,29.4,0.63,18.52,218,0.62,135.16,3.43,274.4,32.21,26.4,90.96,0.12
10,"B2_7,4",Control,50,CK50,26.7,0.64,17.09,31,0.62,19.22,153,0.63,96.39,3.31,264.8,36.31,28.82,70.21,0.19
11,"B3_7,4",Control,50,CK50,21.1,0.6,12.66,23,0.6,13.8,128,0.6,76.8,3,240,26.46,22.05,57.37,0.17
12,"B4_7,4",Control,50,CK50,19.2,0.69,13.25,25.2,0.62,15.62,184,0.62,114.08,3.35,268,28.87,22.04,74.07,0.12
13,"B5_7,4",Control,50,CK50,22,0.67,14.74,27.5,0.62,17.05,140,0.61,85.4,3.08,246.4,31.79,24.64,61.68,0.18
14,"B2_1,1",AMF,0,AMF0,29,0.61,17.69,45.1,0.59,26.61,136,0.6,81.6,3.18,254.4,44.3,36.92,69.94,0.27
15,"B3_1,1",AMF,0,AMF0,22.7,0.6,13.62,37.7,0.6,22.62,140,0.63,88.2,3.11,248.8,36.24,30.2,68,0.22
16,"B4_1,1",AMF,0,AMF0,28,0.62,17.36,58,0.6,34.8,142,0.6,85.2,2.92,233.6,52.16,42.75,75.47,0.3
17,"B5_1,1",AMF,0,AMF0,39.5,0.63,24.89,66.2,0.6,39.72,114,0.62,70.68,3.13,250.4,64.61,52.52,73.13,0.46
18,"B1_1,3",AMF,25,AMF25,33.8,0.62,20.96,48.3,0.59,28.5,113,0.6,67.8,3.6,288,49.45,40.87,64.78,0.36
19,"B2_1,3",AMF,25,AMF25,22.7,0.65,14.76,19,0.62,11.78,123,0.61,75.03,3.43,274.4,26.54,20.89,54.02,0.17
20,"B3_1,3",AMF,25,AMF25,27.9,0.62,17.3,45.9,0.59,27.08,130,0.6,78,3.03,242.4,44.38,36.68,67.61,0.28
21,"B4_1,3",AMF,25,AMF25,25.8,0.61,15.74,41.6,0.62,25.79,120,0.59,70.8,2.63,210.4,41.53,33.76,61.72,0.28
22,"B5_1,3",AMF,25,AMF25,23.7,0.61,14.46,30.1,0.59,17.76,86.6,0.59,51.09,3.52,281.6,32.22,26.85,46.54,0.31
23,"B1_1,4",AMF,50,AMF50,38.7,0.61,23.61,49.3,0.61,30.07,140,0.57,79.8,3.17,253.6,53.68,44,74.57,0.31
24,"B2_1,4",AMF,50,AMF50,30.3,0.63,19.09,39.7,0.61,24.22,161,0.58,93.38,3.42,273.6,43.31,34.92,75.1,0.22
25,"B3_1,4",AMF,50,AMF50,38.3,0.62,23.75,83.7,0.59,49.38,133,0.58,77.14,2.6,208,73.13,60.44,83.95,0.45
26,"B5_1,4",AMF,50,AMF50,25,0.63,15.75,40.9,0.59,24.13,85.7,0.6,51.42,2.97,237.6,39.88,32.69,50.17,0.38